Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	144 - Day One Hundred Forty Four	8/23/2009 1:41:24 PM 	13:11:18	42.6 km	3 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N46 29.524 E9 38.670	8/23/2009 7:52:13 PM 	1706 m			154 m	0:00:25	22 kph	191° true
Trackpoint	N46 29.457 E9 38.591	8/23/2009 7:52:43 PM 	1698 m			161 m	0:00:30	19 kph	219° true
Trackpoint	N46 29.383 E9 38.560	8/23/2009 7:53:08 PM 	1692 m			142 m	0:00:25	21 kph	196° true
Trackpoint	N46 29.342 E9 38.500	8/23/2009 7:53:28 PM 	1687 m			107 m	0:00:20	19 kph	226° true
Trackpoint	N46 29.288 E9 38.507	8/23/2009 7:53:43 PM 	1681 m			101 m	0:00:15	24 kph	175° true
Trackpoint	N46 29.234 E9 38.492	8/23/2009 7:54:03 PM 	1684 m			103 m	0:00:20	19 kph	191° true
Trackpoint	N46 29.164 E9 38.489	8/23/2009 7:55:03 PM 	1693 m			129 m	0:01:00	8 kph	181° true
Trackpoint	N46 29.084 E9 38.464	8/23/2009 7:56:08 PM 	1702 m			151 m	0:01:05	8 kph	192° true
Trackpoint	N46 29.022 E9 38.489	8/23/2009 7:57:09 PM 	1707 m			119 m	0:01:01	7 kph	165° true
Trackpoint	N46 28.959 E9 38.491	8/23/2009 7:58:54 PM 	1710 m			117 m	0:01:45	4 kph	179° true
Trackpoint	N46 28.900 E9 38.500	8/23/2009 7:59:59 PM 	1710 m			110 m	0:01:05	6 kph	174° true
Trackpoint	N46 28.832 E9 38.508	8/23/2009 8:00:54 PM 	1710 m			126 m	0:00:55	8 kph	175° true
Trackpoint	N46 28.777 E9 38.558	8/23/2009 8:01:54 PM 	1715 m			120 m	0:01:00	7 kph	148° true
Trackpoint	N46 28.748 E9 38.624	8/23/2009 8:02:44 PM 	1721 m			101 m	0:00:50	7 kph	123° true
Trackpoint	N46 28.723 E9 38.714	8/23/2009 8:03:49 PM 	1734 m			123 m	0:01:05	7 kph	112° true
Trackpoint	N46 28.669 E9 38.745	8/23/2009 8:04:49 PM 	1744 m			108 m	0:01:00	6 kph	158° true
